# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff6ff90164440
# CUDA_DEVICE 0 GeForce GTX 460
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,l2_subp0_write_sector_misses,fb_subp0_read_sectors,fb_subp0_write_sectors,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,l2_subp1_write_sector_misses,fb_subp1_read_sectors,fb_subp1_write_sectors,branch,l1_local_load_miss,l1_local_store_hit,l2_subp0_read_sector_misses,divergent_branch,l1_local_store_miss,l1_global_load_hit,l2_subp1_read_sector_misses,inst_executed,l1_global_load_miss,l2_subp0_write_sector_queries,warps_launched,threads_launched,uncached_global_load_transaction,l2_subp1_write_sector_queries,active_warps,global_store_transaction,l2_subp0_read_sector_queries,active_cycles,l1_shared_bank_conflict,l2_subp1_read_sector_queries,tex0_cache_sector_queries,tex0_cache_sector_misses,inst_issued1_0,inst_issued2_0,tex1_cache_sector_queries,inst_issued1_1,inst_issued2_1,tex1_cache_sector_misses
120744e0946387c0,_Z9gpu_inv_lPfS_ii,29.952,39,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,102,175,102,0,0,1,0,162,27,162,151,0,0,171,0,0,226,175,1892,46,64,1,16,0,168,20312,136,92,20352,0,92,0,0,0,0,0,760,568,0
120744e0946777e0,_Z8gpu_mm_rPfS_S_ii,13.568,23,0.833,60,1,16,16,1,2048,2048,21,0,-1,,0,0,0,192,1024,9660,1868,9660,1280,128,8,0,9435,1856,9435,56,0,0,1860,0,0,75,1860,5504,275,18200,72,2304,0,15360,223347,1792,3864,8048,0,3772,0,0,1790,968,0,1731,968,0
120744e0946b35e0,_Z8gpu_mm_aPfS_ii,694.368,704,0.833,60,60,16,16,1,2048,2048,21,0,-1,,0,0,0,10992,58624,232884,62276,232884,115968,7248,453,0,230243,62296,230243,3640,0,0,62312,0,0,9329,62320,384992,12934,1291784,3680,117760,0,921600,18173311,116224,195524,494776,0,196064,0,0,133231,64020,0,132968,63460,0
120744e0947958e0,_Z10gpu_dpotrfPfS_ii,9.6,20,0.167,1,1,16,16,1,1024,1088,9,0,-1,,0,0,0,8,8,12,103,12,344,88,1,0,12,68,12,272,0,0,83,8,0,0,64,2048,16,144,8,256,0,36,45312,72,32,5543,9,32,0,0,928,60,0,977,68,0
120744e0947cef00,memcpyHtoD,0.928,3,,,,,,,,,,0,0,1024,0
120744e0947d0e80,_Z9gpu_inv_lPfS_ii,29.888,39,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,100,179,100,0,0,1,0,167,183,167,151,0,0,171,0,0,226,175,1892,46,336,1,16,0,168,20429,136,92,20355,0,92,0,0,760,568,0,0,0,0
120744e09480fde0,_Z8gpu_mm_rPfS_S_ii,13.248,23,0.833,59,1,16,16,1,2048,2048,21,0,-1,,0,0,0,192,1024,9443,1832,9443,1280,128,8,0,9297,1852,9297,72,0,0,1832,0,0,34,1836,6192,310,23352,64,2048,0,15104,232427,2048,3780,7350,0,3708,0,0,1994,1084,0,1926,1084,0
120744e09484aaa0,_Z8gpu_mm_aPfS_ii,626.976,637,0.833,59,59,16,16,1,2048,2048,21,0,-1,,0,0,0,10704,57088,253611,74424,253611,111872,6992,437,0,251203,74680,251203,3560,0,0,74748,0,0,6159,74484,379056,14782,1240040,3552,113664,0,891136,16698369,112896,226836,446757,0,229140,0,0,125568,62480,0,124774,62340,0
120744e09491b980,_Z10gpu_dpotrfPfS_ii,9.568,19,0.167,1,1,16,16,1,1024,1088,9,0,-1,,0,0,0,8,8,12,79,12,344,88,1,0,12,76,12,272,0,0,107,8,0,0,96,2048,16,0,8,256,0,36,45318,72,32,5501,9,32,0,0,977,68,0,928,60,0
120744e094954dc0,memcpyHtoD,0.96,3,,,,,,,,,,0,0,1024,0
120744e094956da0,_Z9gpu_inv_lPfS_ii,29.92,40,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,104,187,104,0,0,1,0,164,175,164,151,0,0,195,0,0,226,179,1892,46,240,1,16,0,168,20327,136,92,20516,0,92,0,0,0,0,0,760,568,0
120744e0949c32c0,_Z8gpu_mm_rPfS_S_ii,12.512,23,0.833,58,1,16,16,1,2048,2048,21,0,-1,,0,0,0,192,1024,8910,1860,8910,1120,112,7,0,9142,1828,9142,64,0,0,1856,0,0,32,1832,5504,247,21736,56,1792,0,14848,232296,2048,3832,6943,0,3968,0,0,1694,968,0,1745,968,0
120744e0949fdfe0,_Z8gpu_mm_aPfS_ii,645.536,655,0.833,58,58,16,16,1,2048,2048,21,0,-1,,0,0,0,10200,54400,218468,58300,218468,109312,6832,427,0,215457,58252,215457,3416,0,0,58264,0,0,8663,56024,362096,11765,1182488,3384,108288,0,861184,17337873,109312,181736,460217,0,185564,0,0,124557,59540,0,124497,59680,0
120744e094ad37c0,_Z10gpu_dpotrfPfS_ii,9.6,19,0.167,1,1,16,16,1,1024,1088,9,0,-1,,0,0,0,8,8,12,87,12,344,88,1,0,12,84,12,272,0,0,83,8,0,0,32,2048,16,0,8,256,0,36,45198,72,32,5482,9,32,0,0,928,60,0,977,68,0
120744e094b0cd60,memcpyHtoD,0.928,4,,,,,,,,,,0,0,1024,0
120744e094b0eca0,_Z9gpu_inv_lPfS_ii,29.888,40,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,104,194,104,0,0,1,0,160,168,160,151,0,0,190,0,0,226,172,1892,46,32,1,16,0,168,20356,136,92,20326,0,92,0,0,760,568,0,0,0,0
120744e094b4f080,_Z8gpu_mm_rPfS_S_ii,12.576,22,0.833,57,1,16,16,1,2048,2048,21,0,-1,,0,0,0,192,1024,9256,1732,9256,1440,144,9,0,9130,1756,9130,64,0,0,1744,0,0,47,1728,5504,242,20224,64,2048,0,14592,235882,2048,3824,6629,0,3884,0,0,1719,968,0,1722,968,0
120744e094b89b00,_Z8gpu_mm_aPfS_ii,581.504,591,0.833,57,57,16,16,1,2048,2048,21,0,-1,,0,0,0,9864,52608,236500,67380,236500,104960,6560,410,0,237636,67260,237636,3296,0,0,67412,0,0,6423,67376,351072,13670,1282288,3336,106752,0,831744,15264393,106240,211948,413974,0,212200,0,0,114734,57300,0,115702,57300,0
120744e094c50000,_Z10gpu_dpotrfPfS_ii,9.6,19,0.167,1,1,16,16,1,1024,1088,9,0,-1,,0,0,0,8,8,12,79,12,344,88,1,0,12,92,12,272,0,0,111,8,0,0,72,2048,16,144,8,256,0,36,45294,72,32,5499,9,32,0,0,977,68,0,928,60,0
120744e094c894a0,memcpyHtoD,0.96,3,,,,,,,,,,0,0,1024,0
120744e094c8b520,_Z9gpu_inv_lPfS_ii,29.92,39,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,104,200,104,0,0,1,0,162,170,162,151,0,0,180,0,0,226,170,1892,46,336,1,16,0,168,20337,136,92,20326,0,92,0,0,0,0,0,760,568,0
120744e094cca5a0,_Z8gpu_mm_rPfS_S_ii,12.512,22,0.833,56,1,16,16,1,2048,2048,21,0,-1,,0,0,0,168,896,8791,1728,8791,1280,128,8,0,9054,1732,9054,64,0,0,1736,0,0,46,1728,5504,277,19632,64,2048,0,14336,238841,2048,3580,6827,0,3804,0,0,1539,852,0,1518,852,0
120744e094d04f20,_Z8gpu_mm_aPfS_ii,600.544,610,0.833,56,56,16,16,1,2048,2048,21,0,-1,,0,0,0,9480,50560,199070,54112,199070,102144,6384,399,0,201322,54040,201322,3192,0,0,53956,0,0,7846,53968,340048,11135,1252296,3184,101888,0,802816,15782307,101632,170596,428020,0,170416,0,0,116452,56320,0,115654,55760,0
120744e094dcf700,_Z10gpu_dpotrfPfS_ii,9.568,20,0.167,1,1,16,16,1,1024,1088,9,0,-1,,0,0,0,8,8,12,87,12,344,88,1,0,12,68,12,272,0,0,99,8,0,0,68,2048,16,144,8,256,0,36,45222,72,32,5488,9,32,0,0,928,60,0,977,68,0
120744e094e08a60,memcpyHtoD,0.96,2,,,,,,,,,,0,0,1024,0
120744e094e0a9a0,_Z9gpu_inv_lPfS_ii,29.856,39,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,104,195,104,0,0,1,0,160,175,160,151,0,0,167,0,0,226,191,1892,46,0,1,16,0,168,20342,136,92,20300,0,92,0,0,760,568,0,0,0,0
120744e094e4abc0,_Z8gpu_mm_rPfS_S_ii,12,22,0.833,55,1,16,16,1,2048,2048,21,0,-1,,0,0,0,192,1024,8913,1652,8913,960,96,6,0,8692,1672,8692,64,0,0,1664,0,0,48,1668,5504,240,21752,64,2048,0,14080,236757,2048,3656,7228,0,3568,0,0,1733,968,0,1747,968,0
120744e094e853a0,_Z8gpu_mm_aPfS_ii,541.152,551,0.833,55,55,16,16,1,2048,2048,21,0,-1,,0,0,0,9312,49664,220893,62044,220893,100352,6272,392,0,221834,61824,221834,3056,0,0,61976,0,0,5782,61992,329872,12942,1113672,3072,98304,0,774400,14367583,97792,199548,385218,0,199640,0,0,108104,53800,0,108399,54220,0
120744e094f46260,_Z10gpu_dpotrfPfS_ii,9.632,21,0.167,1,1,16,16,1,1024,1088,9,0,-1,,0,0,0,8,8,12,103,12,344,88,1,0,12,72,12,272,0,0,83,8,0,0,96,2048,16,0,8,256,0,36,45256,72,32,5508,9,32,0,0,977,68,0,928,60,0
120744e094f7fa60,memcpyHtoD,0.928,3,,,,,,,,,,0,0,1024,0
120744e094f81980,_Z9gpu_inv_lPfS_ii,29.888,39,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,101,187,101,0,0,1,0,164,175,164,151,0,0,171,0,0,226,171,1892,46,0,1,16,0,168,20307,136,92,20372,0,92,0,0,0,0,0,760,568,0
120744e094fc07e0,_Z8gpu_mm_rPfS_S_ii,12.256,21,0.833,54,1,16,16,1,2048,2048,21,0,-1,,0,0,0,120,640,8513,1664,8513,1120,112,7,0,8550,1680,8550,56,0,0,1664,0,0,80,1660,5504,240,23088,64,2048,0,13824,242700,2048,3504,6819,0,3384,0,0,1250,736,0,1732,968,0
120744e094ffae40,_Z8gpu_mm_aPfS_ii,559.52,569,0.833,54,54,16,16,1,2048,2048,21,0,-1,,0,0,0,8760,46720,189093,50200,189093,95232,5952,372,0,189976,50264,189976,2928,0,0,50184,0,0,7742,50232,314608,10559,1174000,2944,94208,0,746496,14836133,93440,159864,398524,0,158280,0,0,107684,51840,0,107283,51700,0
120744e0950bb460,_Z10gpu_dpotrfPfS_ii,9.568,19,0.167,1,1,16,16,1,1024,1088,9,0,-1,,0,0,0,8,8,12,83,12,344,88,1,0,12,72,12,272,0,0,83,8,0,0,88,2048,16,144,8,256,0,36,45280,72,32,5496,9,32,0,0,928,60,0,977,68,0
120744e0950f4720,memcpyHtoD,0.928,4,,,,,,,,,,0,0,1024,0
120744e0950f6620,_Z9gpu_inv_lPfS_ii,29.856,39,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,102,170,102,0,0,1,0,160,184,160,151,0,0,170,0,0,226,196,1892,46,184,1,16,0,168,20339,136,92,20359,0,92,0,0,760,568,0,0,0,0
120744e095135a00,_Z8gpu_mm_rPfS_S_ii,11.584,21,0.833,53,1,16,16,1,2048,2048,21,0,-1,,0,0,0,192,1024,8536,1596,8536,1120,112,7,0,8331,1592,8331,64,0,0,1596,0,0,40,1600,4816,240,20472,64,2048,0,13568,207050,1792,3292,6604,0,3420,0,0,1689,968,0,1694,968,0
120744e09516fea0,_Z8gpu_mm_aPfS_ii,502.272,512,0.833,53,53,16,16,1,2048,2048,21,0,-1,,0,0,0,8568,45696,207874,55676,207874,92672,5792,362,0,206762,55592,206762,2848,0,0,55616,0,0,5585,55652,308672,12141,1100216,2888,92416,0,719104,13176066,92672,184044,358773,0,186412,0,0,101116,50720,0,100650,50440,0
120744e095222f80,_Z10gpu_dpotrfPfS_ii,9.6,19,0.167,1,1,16,16,1,1024,1088,9,0,-1,,0,0,0,8,8,12,107,12,344,88,1,0,12,88,12,272,0,0,111,8,0,0,80,2048,16,0,8,256,0,36,45246,72,32,5500,9,32,0,0,977,68,0,928,60,0
120744e09525c3c0,memcpyHtoD,0.928,3,,,,,,,,,,0,0,1024,0
120744e09525e2a0,_Z9gpu_inv_lPfS_ii,29.92,39,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,102,168,102,0,0,1,0,164,166,164,151,0,0,172,0,0,226,178,1892,46,336,1,16,0,168,20367,136,92,20394,0,92,0,0,0,0,0,760,568,0
120744e09529d100,_Z8gpu_mm_rPfS_S_ii,12.128,22,0.833,52,1,16,16,1,2048,2048,21,0,-1,,0,0,0,192,1024,8097,1608,8097,1280,128,8,0,8037,1616,8037,56,0,0,1584,0,0,80,1592,4816,236,22808,48,1536,0,13312,213635,1792,3204,7264,0,3224,0,0,1573,852,0,1513,852,0
120744e0952d7ae0,_Z8gpu_mm_aPfS_ii,519.584,530,0.833,52,52,16,16,1,2048,2048,21,0,-1,,0,0,0,8328,44416,174492,46404,174492,86784,5424,339,0,174284,46400,174284,2784,0,0,46408,0,0,6687,46512,287472,9381,1038512,2704,86528,0,692224,13847162,88064,149172,370277,0,147120,0,0,100871,48480,0,99410,47780,0
120744e09538e880,_Z10gpu_dpotrfPfS_ii,9.568,20,0.167,1,1,16,16,1,1024,1088,9,0,-1,,0,0,0,8,8,12,83,12,344,88,1,0,12,88,12,272,0,0,107,8,0,0,64,2048,16,144,8,256,0,36,45166,72,32,5477,9,32,0,0,928,60,0,977,68,0
120744e0953c7a80,memcpyHtoD,0.96,3,,,,,,,,,,0,0,1024,0
