16	0.0629824	2.34485816956
32	0.0977152	3.36669111252
64	0.201168	5.3657450676
128	0.4768896	6.89650583267
256	0.9976	10.3125553131
512	2.8256192	14.2890739441
1024	8.7034144	20.0510311127
2048	36.4987582	28.4973754883
3072	90.256755	34.8827705383
4096	182.7539277	40.7489128113
5120	321.8021881	45.0135574341
6144	524.9453247	49.7651634216
7168	785.1330079	53.6535339355
8192	1167.4178223	57.0058860779
9216	1577.2843629	60.6274833679
10240	2092.131665	64.0665740967
11264	2747.0454102	67.3513717651
