# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff6ff703daa48
# CUDA_DEVICE 0 GeForce GTX 460
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,l2_subp0_write_sector_misses,fb_subp0_read_sectors,fb_subp0_write_sectors,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,l2_subp1_write_sector_misses,fb_subp1_read_sectors,fb_subp1_write_sectors,branch,l1_local_load_miss,l1_local_store_hit,l2_subp0_read_sector_misses,divergent_branch,l1_local_store_miss,l1_global_load_hit,l2_subp1_read_sector_misses,inst_executed,l1_global_load_miss,l2_subp0_write_sector_queries,warps_launched,threads_launched,uncached_global_load_transaction,l2_subp1_write_sector_queries,active_warps,global_store_transaction,l2_subp0_read_sector_queries,active_cycles,l1_shared_bank_conflict,l2_subp1_read_sector_queries,tex0_cache_sector_queries,tex0_cache_sector_misses,inst_issued1_0,inst_issued2_0,tex1_cache_sector_queries,inst_issued1_1,inst_issued2_1,tex1_cache_sector_misses
12079844ef9bbf20,memset32_aligned1D,4.768,24,0.75,6,1,192,1,1,0,0,6,0,-1,,0,0,0,0,12,64,37,64,0,0,2,0,64,24,64,24,0,0,45,0,0,0,24,180,0,64,12,384,0,64,15550,12,0,1275,0,0,0,0,66,24,0,67,24,0
12079844ef9fd960,memcpyHtoD,0.928,4,,,,,,,,,,0,0,4096,0
12079844efa07c60,_Z10gpu_dpotrfPfS_ii,9.536,20,0.167,1,1,16,16,1,1024,1088,9,0,-1,,0,0,0,8,8,12,36,12,344,88,1,0,12,37,12,272,0,0,68,8,0,0,41,2048,16,32,8,256,0,32,44834,72,32,5438,9,32,0,0,928,60,0,977,68,0
12079844efa46640,_Z9gpu_inv_lPfS_ii,17.696,28,0.021,1,1,16,1,1,1024,2048,22,0,-1,,0,0,0,15,30,28,88,28,302,152,1,0,32,97,32,181,0,0,88,0,0,0,95,1767,15,16,1,16,0,32,11617,30,28,11609,0,32,0,0,487,642,0,0,0,0
12079844efa985c0,_Z8gpu_mm_rPfS_S_ii,3.872,17,0.167,1,1,16,16,1,3072,3072,12,0,-1,,0,0,0,24,8,16,17,16,264,144,1,0,16,12,16,8,0,0,39,0,0,0,36,808,40,16,8,256,0,16,13543,16,80,1662,0,80,0,0,288,72,0,288,72,0
12079844efad1300,_Z8gpu_mm_aPfS_iii,3.584,14,0.167,1,1,16,16,1,3072,3072,12,0,-1,,0,0,0,24,8,16,4,16,264,144,1,0,16,1,16,16,0,0,24,0,0,16,1,968,32,32,8,256,0,16,11906,16,64,1464,0,64,0,0,316,100,0,316,100,0
12079844efb0c0c0,_Z10gpu_dpotrfPfS_ii,9.312,20,0.167,1,1,16,16,1,1024,1088,9,0,-1,,0,0,0,8,8,12,52,12,344,88,1,0,12,32,12,272,0,0,60,8,0,0,48,2048,16,160,8,256,0,40,43574,72,32,5281,9,32,0,0,977,68,0,928,60,0
12079844efb4dd00,memcpyDtoH,2.592,15,,,,,,,,,,0,0,4096,0
