# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff7006d8a69c0
# CUDA_DEVICE 0 GeForce GTX 460
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,l2_subp0_write_sector_misses,fb_subp0_read_sectors,fb_subp0_write_sectors,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,l2_subp1_write_sector_misses,fb_subp1_read_sectors,fb_subp1_write_sectors,branch,l1_local_load_miss,l1_local_store_hit,l2_subp0_read_sector_misses,divergent_branch,l1_local_store_miss,l1_global_load_hit,l2_subp1_read_sector_misses,inst_executed,l1_global_load_miss,l2_subp0_write_sector_queries,warps_launched,threads_launched,uncached_global_load_transaction,l2_subp1_write_sector_queries,active_warps,global_store_transaction,l2_subp0_read_sector_queries,active_cycles,l1_shared_bank_conflict,l2_subp1_read_sector_queries,tex0_cache_sector_queries,tex0_cache_sector_misses,inst_issued1_0,inst_issued2_0,tex1_cache_sector_queries,inst_issued1_1,inst_issued2_1,tex1_cache_sector_misses
12065577c5fb0a60,memcpyHtoD,0.928,4,,,,,,,,,,0,0,1024,0
12065577c5fb3d00,_Z9gpu_inv_lPfS_ii,27.712,41,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,104,680,104,0,0,1,0,162,156,162,151,0,0,0,0,0,226,132,1892,46,0,1,16,0,168,18787,136,92,18765,0,92,0,0,0,0,0,760,568,0
12065577c5ff3360,_Z8gpu_mm_rPfS_S_ii,13.376,24,0.833,60,1,16,16,1,2048,2048,21,0,-1,,0,0,0,168,896,9031,1888,9031,1120,112,7,0,9310,1892,9310,56,0,0,1828,0,0,71,1876,4816,244,488,64,2048,0,15360,280056,2304,3792,7043,0,4120,0,0,1781,968,0,1778,968,0
12065577c602dba0,_Z8gpu_mm_aPfS_ii,693.44,703,0.833,60,60,16,16,1,2048,2048,21,0,-1,,0,0,0,10824,57728,229943,62348,229943,116992,7312,457,0,232468,62328,232468,3672,0,0,61444,0,0,9344,59412,382448,12724,3072,3632,116224,0,921600,18343175,116736,196312,495183,0,195524,0,0,132648,63740,0,133586,63740,0
12065577c610eca0,_Z10gpu_dpotrfPfS_ii,139.616,149,0.021,1,1,1,1,1,0,0,18,0,-1,,0,0,0,1496,136,68,796,68,0,0,1,0,68,771,68,1090,0,0,764,0,0,1345,771,10974,151,0,1,1,0,68,98945,136,304,98809,0,300,0,0,3362,3808,0,0,0,0
12065577c6169060,memcpyHtoD,0.96,3,,,,,,,,,,0,0,1024,0
12065577c616b1c0,_Z9gpu_inv_lPfS_ii,27.744,38,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,102,140,102,0,0,1,0,163,156,163,151,0,0,148,0,0,226,156,1892,46,0,1,16,0,168,18757,136,92,18757,0,92,0,0,0,0,0,760,568,0
12065577c61a9920,_Z8gpu_mm_rPfS_S_ii,13.024,23,0.833,59,1,16,16,1,2048,2048,21,0,-1,,0,0,0,216,1152,9215,1792,9215,1280,128,8,0,9353,1808,9353,72,0,0,1808,0,0,83,1792,4816,246,432,64,2048,0,15104,236397,2048,3952,7253,0,3900,0,0,1768,968,0,1779,968,0
12065577c61e41c0,_Z8gpu_mm_aPfS_ii,625.952,636,0.833,59,59,16,16,1,2048,2048,21,0,-1,,0,0,0,10560,56320,253366,74084,253366,113920,7120,445,0,253494,74220,253494,3552,0,0,74004,0,0,6492,74236,372272,14461,13216,3544,113408,0,891136,16552869,113408,228848,446073,0,228964,0,0,124450,61360,0,126423,63600,0
12065577c62b4a60,_Z10gpu_dpotrfPfS_ii,139.68,149,0.021,1,1,1,1,1,0,0,18,0,-1,,0,0,0,1496,136,68,771,68,0,0,1,0,68,795,68,1090,0,0,756,0,0,1345,787,10974,151,0,1,1,0,68,99045,136,300,99010,0,304,0,0,3362,3808,0,0,0,0
12065577c630d920,memcpyHtoD,0.928,3,,,,,,,,,,0,0,1024,0
12065577c630f880,_Z9gpu_inv_lPfS_ii,27.68,37,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,104,132,104,0,0,1,0,167,144,167,151,0,0,140,0,0,226,128,1892,46,0,1,16,0,168,18782,136,92,18760,0,92,0,0,0,0,0,760,568,0
12065577c634f160,_Z8gpu_mm_rPfS_S_ii,12.416,22,0.833,58,1,16,16,1,2048,2048,21,0,-1,,0,0,0,192,1024,9061,1792,9061,1280,128,8,0,9603,1812,9603,64,0,0,1796,0,0,40,1780,6192,280,384,64,2048,0,14848,240773,2048,3772,6902,0,3812,0,0,1817,968,0,1743,968,0
12065577c6389a00,_Z8gpu_mm_aPfS_ii,647.2,657,0.833,58,58,16,16,1,2048,2048,21,0,-1,,0,0,0,10248,54656,217154,58160,217154,108544,6784,424,0,214595,58188,214595,3408,0,0,58128,0,0,8710,58184,357008,11745,2736,3416,109312,0,861184,17210107,109568,183524,460604,0,183620,0,0,124633,59820,0,124733,60240,0
12065577c645f440,_Z10gpu_dpotrfPfS_ii,139.584,149,0.021,1,1,1,1,1,0,0,18,0,-1,,0,0,0,1496,136,68,756,68,0,0,1,0,68,779,68,1090,0,0,760,0,0,1345,787,10974,151,0,1,1,0,68,98853,136,300,98995,0,304,0,0,3362,3808,0,0,0,0
12065577c64e22a0,memcpyHtoD,0.96,3,,,,,,,,,,0,0,1024,0
12065577c64e4340,_Z9gpu_inv_lPfS_ii,27.744,37,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,104,156,104,0,0,1,0,160,128,160,151,0,0,156,0,0,226,128,1892,46,0,1,16,0,168,18773,136,92,18754,0,92,0,0,0,0,0,760,568,0
12065577c6523ec0,_Z8gpu_mm_rPfS_S_ii,12.64,22,0.833,57,1,16,16,1,2048,2048,21,0,-1,,0,0,0,192,1024,9065,1736,9065,1280,128,8,0,8982,1740,8982,64,0,0,1736,0,0,56,1728,4816,209,480,72,2304,0,14592,231189,2048,3744,7148,0,3816,0,0,1927,1084,0,1734,968,0
12065577c655e9e0,_Z8gpu_mm_aPfS_ii,581.28,591,0.833,57,57,16,16,1,2048,2048,21,0,-1,,0,0,0,10080,53760,237739,67256,237739,106240,6640,415,0,237330,67360,237330,3320,0,0,67396,0,0,6578,67320,350224,13729,12784,3256,104192,0,831744,15403156,105216,211548,415156,0,213996,0,0,115864,57300,0,116332,58280,0
12065577c6624f60,_Z10gpu_dpotrfPfS_ii,139.616,149,0.021,1,1,1,1,1,0,0,18,0,-1,,0,0,0,1496,136,68,764,68,0,0,1,0,68,775,68,1090,0,0,756,0,0,1345,771,10974,151,0,1,1,0,68,98967,136,304,98933,0,300,0,0,3362,3808,0,0,0,0
12065577c667dea0,memcpyHtoD,0.928,3,,,,,,,,,,0,0,1024,0
12065577c667fe80,_Z9gpu_inv_lPfS_ii,27.68,37,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,98,136,98,0,0,1,0,161,128,161,151,0,0,160,0,0,226,132,1892,46,0,1,16,0,168,18771,136,92,18787,0,92,0,0,0,0,0,760,568,0
12065577c66be3e0,_Z8gpu_mm_rPfS_S_ii,12.576,22,0.833,56,1,16,16,1,2048,2048,21,0,-1,,0,0,0,192,1024,9123,1720,9123,1280,128,8,0,8789,1740,8789,56,0,0,1744,0,0,43,1724,5504,244,360,64,2048,0,14336,209827,1792,3716,6755,0,3820,0,0,1774,968,0,1741,968,0
12065577c66f9ca0,_Z8gpu_mm_aPfS_ii,600.608,610,0.833,56,56,16,16,1,2048,2048,21,0,-1,,0,0,0,9552,50944,202946,54060,202946,101632,6352,397,0,202498,54028,202498,3200,0,0,53992,0,0,8142,54040,340048,11280,3072,3192,102144,0,802816,15883520,100864,172844,427573,0,171396,0,0,116042,55900,0,115894,55340,0
12065577c67c4380,_Z10gpu_dpotrfPfS_ii,139.648,149,0.021,1,1,1,1,1,0,0,18,0,-1,,0,0,0,1496,136,68,760,68,0,0,1,0,68,775,68,1090,0,0,756,0,0,1345,775,10974,151,0,1,1,0,68,98776,136,300,98932,0,304,0,0,3362,3808,0,0,0,0
12065577c681e280,memcpyHtoD,0.928,3,,,,,,,,,,0,0,1024,0
12065577c6820340,_Z9gpu_inv_lPfS_ii,27.712,37,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,96,128,96,0,0,1,0,168,156,168,151,0,0,148,0,0,226,156,1892,46,0,1,16,0,168,18769,136,92,18765,0,92,0,0,0,0,0,760,568,0
12065577c6861480,_Z8gpu_mm_rPfS_S_ii,12.16,22,0.833,55,1,16,16,1,2048,2048,21,0,-1,,0,0,0,192,1024,8765,1696,8765,1280,128,8,0,8655,1724,8655,64,0,0,1696,0,0,73,1700,4816,246,376,64,2048,0,14080,230283,2048,3576,7566,0,3712,0,0,1632,968,0,1518,852,0
12065577c689c180,_Z8gpu_mm_aPfS_ii,541.024,551,0.833,55,55,16,16,1,2048,2048,21,0,-1,,0,0,0,9360,49920,218830,61900,218830,97792,6112,382,0,220299,61920,220299,3120,0,0,61964,0,0,5521,61976,329024,12713,12024,3104,99328,0,774400,14310718,97536,200120,384447,0,199520,0,0,108732,54920,0,107669,53940,0
12065577c6959420,_Z10gpu_dpotrfPfS_ii,139.52,150,0.021,1,1,1,1,1,0,0,18,0,-1,,0,0,0,1496,136,68,760,68,0,0,1,0,68,771,68,1090,0,0,780,0,0,1345,771,10974,151,0,1,1,0,68,98795,136,304,98929,0,300,0,0,3362,3808,0,0,0,0
12065577c69b3300,memcpyHtoD,0.96,3,,,,,,,,,,0,0,1024,0
12065577c69b5460,_Z9gpu_inv_lPfS_ii,27.68,37,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,100,124,100,0,0,1,0,168,4,168,151,0,0,132,0,0,226,136,1892,46,0,1,16,0,168,18767,136,92,18789,0,92,0,0,0,0,0,760,568,0
12065577c69f52c0,_Z8gpu_mm_rPfS_S_ii,12.512,23,0.833,54,1,16,16,1,2048,2048,21,0,-1,,0,0,0,168,896,8527,1712,8527,1280,128,8,0,8770,1648,8770,64,0,0,1700,0,0,32,1700,4816,208,448,48,1536,0,13824,239986,2048,3620,6847,0,3540,0,0,1460,852,0,1519,852,0
12065577c6a30000,_Z8gpu_mm_aPfS_ii,558.368,568,0.833,54,54,16,16,1,2048,2048,21,0,-1,,0,0,0,8808,46976,188129,50000,188129,93440,5840,365,0,189187,49653,189187,2976,0,0,50120,0,0,7426,50024,317152,10712,2800,2952,94464,0,746496,14962423,93696,159772,398126,0,161260,0,0,107807,51560,0,108262,51280,0
12065577c6af1aa0,_Z10gpu_dpotrfPfS_ii,139.52,150,0.021,1,1,1,1,1,0,0,18,0,-1,,0,0,0,1496,136,68,772,68,0,0,1,0,68,795,68,1090,0,0,756,0,0,1345,811,10974,151,0,1,1,0,68,98800,136,300,98880,0,304,0,0,3362,3808,0,0,0,0
12065577c6b4ad40,memcpyHtoD,0.96,3,,,,,,,,,,0,0,1024,0
12065577c6b4cdc0,_Z9gpu_inv_lPfS_ii,27.872,38,0.021,1,1,16,1,1,0,0,20,0,-1,,0,0,0,272,136,102,156,102,0,0,1,0,156,144,156,151,0,0,160,0,0,226,152,1892,46,0,1,16,0,168,18764,136,92,18765,0,92,0,0,0,0,0,760,568,0
12065577c6b8b660,_Z8gpu_mm_rPfS_S_ii,12.576,23,0.833,53,1,16,16,1,2048,2048,21,0,-1,,0,0,0,168,896,8485,1600,8485,1280,128,8,0,8309,1616,8309,64,0,0,1592,0,0,88,1608,4816,200,424,64,2048,0,13568,238474,2048,3292,7198,0,3484,0,0,1707,968,0,1488,852,0
12065577c6bc7a40,_Z8gpu_mm_aPfS_ii,502.4,512,0.833,53,53,16,16,1,2048,2048,21,0,-1,,0,0,0,8544,45568,207700,55628,207700,90624,5664,354,0,206413,55736,206413,2872,0,0,55640,0,0,5201,55676,307824,12054,12312,2872,91904,0,719104,13338922,92160,184068,356740,0,184484,0,0,100396,50580,0,100830,51140,0
